Date,state
1993-04-23 00:00:00,dow-4  :  LH-1  :  LL-2  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-5  :  co-dir-consec-2  :  oc-dir-consec-6  :  gap-filled-5  :  iLT-41  :  LT-41  :  L10-1  :  L20-1  :  iL10-1  :  iL20-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-4  :  sma20-consec-5  :  sma50-consec-4  :  sma200-consec-4,
1993-04-26 00:00:00,LH-2  :  LL-3  :  cc-dir-2  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-6  :  co-dir-consec-1  :  oc-dir-consec-7  :  gap-filled-6  :  iLT-45  :  LT-45  :  L10-1  :  L20-1  :  iL10-1  :  iL20-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-5  :  sma20-consec-6  :  sma50-consec-5  :  sma200-consec-5,
1993-04-27 00:00:00,dow-1  :  IB-1  :  HL-1  :  LH-3  :  cc-dir-1  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-7  :  HT-2  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-6  :  sma20-consec-7  :  sma50-consec-6  :  sma200-consec-6,
1993-04-28 00:00:00,dow-2  :  HH-1  :  HL-2  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-8  :  iHT-1  :  LT-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-7  :  sma20-consec-8  :  sma50-consec-7  :  sma200-consec-7,
1993-04-29 00:00:00,dow-3  :  OB-1  :  HH-2  :  LL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-9  :  iLT-1  :  iHT-3  :  HT-5  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-8  :  sma20-consec-9  :  sma50-consec-8  :  sma200-consec-8,
1993-04-30 00:00:00,dow-4  :  HH-3  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-2  :  cc-dir-consec-2  :  co-dir-consec-2  :  oc-dir-consec-1  :  gap-filled-1  :  iHT-5  :  HT-6  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-9  :  sma20-consec-10  :  sma50-consec-9  :  sma200-consec-9,
1993-05-03 00:00:00,OB-1  :  HH-4  :  LL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-3  :  co-dir-consec-3  :  oc-dir-consec-1  :  gap-filled-2  :  iLT-1  :  iHT-6  :  HT-7  :  sma10-1  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-1  :  sma20-consec-11  :  sma50-consec-10  :  sma200-consec-10,
1993-05-04 00:00:00,dow-1  :  HH-5  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-4  :  co-dir-consec-4  :  oc-dir-consec-2  :  gap-filled-1  :  iHT-7  :  HT-8  :  sma10-1  :  sma20-1  :  sma50-2  :  sma200-2  :  sma10-consec-2  :  sma20-consec-1  :  sma50-consec-11  :  sma200-consec-11,
1993-05-05 00:00:00,dow-2  :  HH-6  :  HL-2  :  cc-dir-1  :  oc-dir-1  :  cc-dir-consec-5  :  co-dir-consec-1  :  oc-dir-consec-3  :  gap-filled-1  :  iHT-10  :  HT-11  :  H10-1  :  sma10-1  :  sma20-1  :  sma50-2  :  sma200-2  :  sma10-consec-3  :  sma20-consec-2  :  sma50-consec-12  :  sma200-consec-12,
1993-05-06 00:00:00,dow-3  :  LH-1  :  LL-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  iLT-1  :  LT-2  :  sma10-1  :  sma20-1  :  sma50-2  :  sma200-2  :  sma10-consec-4  :  sma20-consec-3  :  sma50-consec-13  :  sma200-consec-13,
